Concept ID,Concept Code,Relates to
4092647,251992000,Fluid intake
4090192,251840008,Fluid output
4245002,396277003,Fluid observable
3037256,9095-1,Fluid balance 10 hour
3037769,9096-9,Fluid balance 12 hour
4218046,396276007,Fluid appearance
4092647,251992000,Fluid intake
4089845,251846002,Fluid loss
4090192,251840008,Fluid output
3038018,9097-7,Fluid balance 24 hour
3020997,9094-4,Fluid balance 8 hour
1259832,104103-7,Cumulative fluid balance
3002137,9093-6,Fluid balance 1 hour
44806992,815151000000107,Fluid intake volume in 24 hours
